Ref,Country,Date online,Status,Technology,Technology_electricity,Technology_electricity_details,Product,Capacity_MWel,Capacity_Nm³ H₂/h,Capacity_kt H2/y,Capacity_t CO₂ captured/y,zero-carbon estimated normalized capacity [Nm³ H₂/hour]
1430,NLD,,Feasibility study,NG w CCUS,,,H2,,,,800000,100301
1433,GBR,2030,Feasibility study,NG w CCUS,,,H2,,165461,129,2000000,250753
1439,USA,2025,Feasibility study,NG w CCUS,,,Ammonia,,,,104000,13039
1445,IND,2024,FID/Construction,SOEC,Dedicated renewable,Solar PV,H2,0.24,63,0,,63
1447,KOR,,Concept,SOEC,Nuclear,,H2,,,,,0
1448,IND,2023,Feasibility study,PEM,Dedicated renewable,Solar PV,H2,,,,,0
1449,IND,2023,FID/Construction,ALK,Grid+Renewables,Solar PV,H2,0.8,174,0.1,,174
1450,BEL,2028,Feasibility study,NG w CCUS,,,H2,,320225,249.7,1800000,225678
1451,CHN,2021,Operational,ALK,Dedicated renewable,Solar PV,H2,120,26087,20.3,,26087
1453,USA,2026,Feasibility study,Biomass w CCUS,,,H2,,8979,7,140000,8979
1456,USA,,Feasibility study,NG w CCUS,,,H2,,116667,91,,0
1457,USA,,Concept,NG w CCUS,N/A,N/A,Ammonia,,,,,0
1469,CHN,2024,FID/Construction,ALK,Dedicated renewable,Onshore wind,H2,40,8696,6.8,,8696
1473,MYS,,Feasibility study,NG w CCUS,,,Ammonia,,138580.9,108,,0
1475,SWE,1992,Operational,ALK,Nuclear,,H2,0.7,152,0.1,,152
1478,FRA,2023,FID/Construction,ALK,Grid,,H2,1,217,0.2,,217
1482,DEU,2023,Feasibility study,ALK,Dedicated renewable,Solar PV,H2,5,1087,1,,1087
1488,PRT,2025,Feasibility study,ALK,Dedicated renewable,Solar PV,H2,100,21739,16.9,,21739
1494,CHN,2025,Feasibility study,Coal w CCUS,,,H2,,,,1500000,89768
1498,PRT,2026,Feasibility study,ALK,Dedicated renewable,Unknown,Ammonia,40,8696,6.8,,8696
1511,DNK,2023,FID/Construction,PEM,Dedicated renewable,Solar PV,MeOH,50,9615,7.5,,9615
1522,USA,,Concept,NG w CCUS,N/A,N/A,H2,,,,,0
